Mã HS, Toán , Lý, Hóa, Sinh , Văn , Anh, Sử , Địa
Anh: 6,9,9,9; 9,7,8,9; 10,9,8,8; 8,7,9,9; 6,7,8,9,8.5; 10,7,8,9,8; 6,9,8,9,8; 6,7,7,9,10
Tam: 6,7,8,9; 6,9,8,9; 6,7,8,7; 6,7,8,9; 6,7,8,9,10; 6,7,8, 9,10; 6,7,8,9,10; 6,7,2,9,2
Hang: 6,7,8,9; 6,7,8,9; 6,10,8,7; 6,7 ,8,9; 6, 7,8,9,10; 6, 7,8,9,10; 6,7,8,9,10; 6,3,8,9,3
An: 1,2,3,4; 5,1,8,9; 6,7 ,8,7; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Nga: 1,2,3,6; 5,1,8,9; 6,7 ,8,7; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Vu: 1,2,3,7; 5,1,8,9; 6,7 ,8,7; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Hoang: 1,2,6,8; 5,1,8,9; 6,7 ,8,6; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Tien: 1,9,3,9; 5,1,8,9; 6,7 ,8,5; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Kien: 1,2,10,7; 5,1,8,9; 6,7 ,8,4; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Dao: 1,2,8,8; 5,1,8,9; 6,7 ,8,7; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Hien: 10,2,9,9; 5,1,8,9; 6,7 ,8,6; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Hong: 1,2,3,8; 5,1,8,9; 6,7 ,8,9; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Huong: 1,2,3,8; 5,1,8,9; 6,7 ,8,10; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Tinh: 1,2,7,7; 5,1,8,9; 6,7 ,8,2; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Toan: 1,2,4,7; 5,1,8,9; 6,7 ,8,8; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Dat: 9,7,9,9; 5,10,9,9; 9,9 ,8,9; 6,7 ,8,10; 10,7,8,9,10; 10,7,8,9,10; 6,7,8,9,10; 10,7,4,9,10
Hoa: 7,2,3,7; 5,1,8,9; 6,7 ,8,10; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Phuc: 1,2,3,5; 5,1,8,9; 6,7 ,8,2; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Loc: 1,2,2,4; 5,1,8,9; 6,7 ,8,3; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,4,9,4
Tho: 10,5,8,9; 5,10,8,9; 6,7 ,8,8; 6,7 ,8,9; 2,7,8,9,10; 6,7,8,9,10; 6,7,8,9,10; 6,7,10,9,8.5
