Ma HS,Toán,Lý,Hóa,Sinh,Văn,Anh,Sử,Địa
Anh:8.85;8.65;8.2;8.75;8.25;8.15;8.15;9.05
Tam:8.5;8.7;7.1;8.5;9.15;9.15;9.15;3.75
Hang:8.5;8.5;7.4;8.5;9.15;9.15;9.15;4.55
An:3.5;7.85;7.1;8.5;8.95;9.15;9.15;5.15
Nga:4.9;7.85;7.1;8.5;8.95;9.15;9.15;5.15
Vu:5.6;7.85;7.1;8.5;8.95;9.15;9.15;5.15
Hoang:6.75;7.85;6.4;8.5;8.95;9.15;9.15;5.15
Tien:7.7;7.85;5.7;8.5;8.95;9.15;9.15;5.15
Kien:6.65;7.85;5.0;8.5;8.95;9.15;9.15;5.15
Dao:7.05;7.85;7.1;8.5;8.95;9.15;9.15;5.15
Hien:8.35;7.85;6.4;8.5;8.95;9.15;9.15;5.15
Hong:6.3;7.85;8.5;8.5;8.95;9.15;9.15;5.15
Huong:6.3;7.85;9.2;8.5;8.95;9.15;9.15;5.15
Tinh:6.2;7.85;3.6;8.5;8.95;9.15;9.15;5.15
Toan:5.75;7.85;7.8;8.5;8.95;9.15;9.15;5.15
Dat:8.8;8.9;8.85;9.2;9.35;9.35;9.15;8.95
Hoa:5.9;7.85;9.2;8.5;8.95;9.15;9.15;5.15
Phuc:4.2;7.85;3.6;8.5;8.95;9.15;9.15;5.15
Loc:3.35;7.85;4.3;8.5;8.95;9.15;9.15;5.15
Tho:8.5;8.75;7.8;8.5;8.95;9.15;9.15;8.45
